Kategori;Merek;Tahun;Mesin;Tenaga (BHP);Torsi (lb⋅ft);Berat (lbs);Source URL,,
Hypercars;Gordon;2020s;4.0L to 4.9L Displacement;600 to 699 bhp;300 to 399 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Gordon_Murray_Automotive_T.50,,
Modern Muscle;Ford;2010s;5.0L to 5.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Ford_Mustang_RTR_Spec_5,
Modern Muscle;Cadillac;2010s;6.0L to 6.9L Displacement, V8;600 to 699 bhp;600 to 699 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Cadillac_CTS-V_Sedan,
Modern Muscle;HSV;2010s;6.0L to 6.9L Displacement, V8;500 to 599 bhp;500 to 599 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/HSV_GEN-F_GTS,
Modern Muscle;DeBerti;2010s;5.0L to 5.9L Displacement, V8;700 to 799 bhp;600 to 699 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/DeBerti_Ford_Mustang_GT,
Modern Muscle;Dodge;2020s;6.0L to 6.9L Displacement, V8;800 to 899 bhp;700 to 799 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Dodge_Challenger_SRT_Super_Stock,
Modern Muscle;Cadillac;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged;400 to 499 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Cadillac_ATS-V,
Modern Muscle;Vauxhall;2000s;6.0L to 6.9L Displacement, V8;300 to 399 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Vauxhall_Monaro_VXR,
Modern Muscle;Dodge;2000s;6.0L to 6.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Dodge_Magnum_SRT-8,
Modern Muscle;Fast;2020s;7.0L to 7.9L Displacement, V8;1000 to 1099 bhp;900 to 999 lb⋅ft;4500 to 4999 lbs;https://forza.fandom.com/wiki/Fast_and_Furious_Dodge_Charger_SRT_Hellcat_Redeye_Widebody_%27Fast_X%27,
Modern Muscle;Dodge;2010s;6.0L to 6.9L Displacement, V8;800 to 899 bhp;700 to 799 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Dodge_Challenger_SRT_Demon,
Modern Muscle;Dodge;2010s;6.0L to 6.9L Displacement, V8;700 to 799 bhp;600 to 699 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Dodge_Challenger_SRT_Hellcat,
Modern Muscle;Dodge;2010s;6.0L to 6.9L Displacement, V8;700 to 799 bhp;600 to 699 lb⋅ft;4500 to 4999 lbs;https://forza.fandom.com/wiki/Dodge_Charger_SRT_Hellcat,
Modern Muscle;Ford;2010s;5.0L to 5.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Ford_Mustang_GT_(2018),
Modern Muscle;Ford;2020s;5.0L to 5.9L Displacement, V8;500 to 599 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Ford_Mustang_Dark_Horse,
Modern Muscle;Chevrolet;2000s;6.0L to 6.9L Displacement, V8;600 to 699 bhp;600 to 699 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Chevrolet_Corvette_ZR1_(2009),
Modern Muscle;Cadillac;2020s;3.0L to 3.9L Displacement, Twin-Turbocharged;400 to 499 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Cadillac_CT4-V_Blackwing,
Modern Muscle;Ford;2020s;5.0L to 5.9L Displacement, V8;700 to 799 bhp;600 to 699 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Ford_Mustang_Shelby_GT500,
Modern Muscle;Cadillac;2010s;6.0L to 6.9L Displacement, V8;500 to 599 bhp;500 to 599 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Cadillac_CTS-V_Sport_Wagon,
Modern Muscle;Ford;2020s;5.0L to 5.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Ford_Mustang_GT_(2024),
Modern Muscle;Ford;2010s;5.0L to 5.9L Displacement, V8;600 to 699 bhp;600 to 699 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Ford_Shelby_GT500_(2013),
Modern Muscle;Ford;2010s;5.0L to 5.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Ford_Falcon_GT_F_351,
Modern Muscle;Dodge;2010s;8.0L to 8.9L Displacement;600 to 699 bhp;600 to 699 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Dodge_SRT_Viper_GTS,,
Modern Muscle;Chevrolet;2010s;6.0L to 6.9L Displacement, V8;600 to 699 bhp;600 to 699 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Chevrolet_Corvette_Z06_(2015),
Modern Muscle;Cadillac;2020s;6.0L to 6.9L Displacement, V8;600 to 699 bhp;600 to 699 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Cadillac_CT5-V_Blackwing,
Modern Muscle;Chevrolet;2010s;6.0L to 6.9L Displacement, V8;600 to 699 bhp;600 to 699 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Chevrolet_Camaro_ZL1_(2017),
Modern Rally;Mitsubishi;2000s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Mitsubishi_Lancer_Evolution_VIII_MR,
Modern Rally;SUBARU;2020s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/SUBARU_WRX,
Modern Rally;Mitsubishi;2000s;2.0L to 2.9L Displacement, Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Mitsubishi_Lancer_Evolution_X_GSR,
Modern Rally;SUBARU;2010s;2.0L to 2.9L Displacement, Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/SUBARU_STI_S209,
Modern Rally;SUBARU;2010s;2.0L to 2.9L Displacement, Turbocharged;300 to 399 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/SUBARU_WRX_STI_(2015),
Modern Rally;SUBARU;2010s;2.0L to 2.9L Displacement, Turbocharged;300 to 399 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/SUBARU_WRX_STI_(2011),
Modern Rally;Mitsubishi;2000s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Mitsubishi_Lancer_Evolution_IX_MR,
Modern Rally;SUBARU;2000s;2.0L to 2.9L Displacement, Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/SUBARU_Impreza_WRX_STi_(2005),
Modern Rally;Toyota;2020s;1.0L to 1.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Toyota_GR_Yaris,
Modern Rally;SUBARU;2000s;2.0L to 2.9L Displacement, Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/SUBARU_Impreza_WRX_STI_(2008),
Modern Rally;SUBARU;2000s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/SUBARU_Impreza_WRX_STi_(2004),
Retro Hot Hatch;Honda;2000s;2.0L to 2.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Honda_Civic_Type_R_(2004),,
Retro Hot Hatch;Acura;2000s;2.0L to 2.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Acura_RSX_Type-S,,
Retro Hot Hatch;Honda;1990s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Honda_CR-X_SiR,,
Retro Hot Hatch;Renault;1990s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Renault_Clio_Williams,,
Retro Hot Hatch;Ford;1980s;1.0L to 1.9L Displacement, Turbocharged;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Ford_Escort_RS_Turbo,
Retro Hot Hatch;Ford;1980s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Ford_Fiesta_XR2,,
Retro Hot Hatch;Volkswagen;1990s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Volkswagen_Corrado_VR6,,
Retro Hot Hatch;Volkswagen;1980s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Volkswagen_Scirocco_S,,
Retro Hot Hatch;Volkswagen;1990s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Volkswagen_GTI_VR6_Mk3,,
Retro Hot Hatch;Acura;2000s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Acura_Integra_Type-R,,
Retro Hot Hatch;Volkswagen;1980s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Volkswagen_Golf_GTI,,
Retro Hot Hatch;Volkswagen;1990s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Volkswagen_Golf_Gti_16v_Mk2,,
Retro Hot Hatch;Honda;1980s;1.0L to 1.9L Displacement;100 to 199 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Honda_Civic_CRX_Mugen,,
Retro Hot Hatch;Honda;1970s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Honda_Civic_RS,,
Retro Hot Hatch;Autozam;1990s;0.0L to 0.9L Displacement, Turbocharged;0 to 99 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Autozam_AZ-1,
Retro Hot Hatch;Peugeot;1990s;1.0L to 1.9L Displacement;0 to 99 bhp;0 to 99 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Peugeot_205_Rallye,,
Retro Hot Hatch;Honda;1990s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Honda_Prelude_Si,,
Retro Hot Hatch;Honda;1990s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Honda_Civic_Type_R_(1997),,
Retro Muscle;Ford;2000s;5.0L to 5.9L Displacement, V8;300 to 399 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Ford_SVT_Cobra_R_(2000),
Retro Muscle;Buick;1980s;3.0L to 3.9L Displacement, Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Buick_Regal_GNX,
Retro Muscle;Universal;1980s;6.0L to 6.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Universal_Studios_K.I.T.T.,
Retro Muscle;Dodge;1990s;8.0L to 8.9L Displacement;400 to 499 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Dodge_Viper_GTS_ACR,,
Retro Muscle;Ford;2000s;4.0L to 4.9L Displacement, V8;300 to 399 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Ford_Mustang_SVT_Cobra,
Retro Muscle;Ford;1990s;5.0L to 5.9L Displacement, V8;300 to 399 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ford_Mustang_SVT_Cobra_R,
Retro Muscle;Chevrolet;2000s;5.0L to 5.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Chevrolet_Corvette_Z06_(2002),
Retro Muscle;HDT;1980s;4.0L to 4.9L Displacement, V8;200 to 299 bhp;300 to 399 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/HDT_VK_Commodore_Group_A,
Retro Muscle;Chevrolet;1980s;5.0L to 5.9L Displacement, V8;100 to 199 bhp;200 to 299 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Chevrolet_Monte_Carlo_Super_Sport,
Retro Muscle;Ford;2010s;4.0L to 4.9L Displacement, V8;200 to 299 bhp;200 to 299 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Ford_Crown_Victoria_Police_Interceptor,
Retro Muscle;Ford;1980s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ford_Mustang_SVO,
Retro Muscle;Chevrolet;1990s;5.0L to 5.9L Displacement, V8;200 to 299 bhp;300 to 399 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Chevrolet_Impala_Super_Sport,
Retro Muscle;Pontiac;1980s;5.0L to 5.9L Displacement, V8;200 to 299 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Pontiac_Firebird_Trans_Am_GTA,
Retro Muscle;Chevrolet;1990s;5.0L to 5.9L Displacement, V8;400 to 499 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Chevrolet_Corvette_ZR-1_(1995),
Retro Muscle;Ford;1990s;4.0L to 4.9L Displacement, V8;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ford_SVT_Cobra_R_(1993),
Retro Rally;Mitsubishi;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Mitsubishi_Lancer_Evolution_III_GSR,
Retro Rally;Lancia;1980s;2.0L to 2.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Lancia_037_Stradale,,
Retro Rally;SUBARU;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/SUBARU_Legacy_RS,
Retro Rally;Mazda;1990s;1.0L to 1.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Mazda_323_GT-R,,
Retro Rally;Lancia;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Lancia_Delta_HF_Integrale_Evo,
Retro Rally;Ford;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ford_Escort_RS_Cosworth,
Retro Rally;Mitsubishi;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Mitsubishi_Galant_VR-4,
Retro Rally;Nissan;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Nissan_Pulsar_GTI-R,
Retro Rally;Audi;1980s;2.0L to 2.9L Displacement, Turbocharged;300 to 399 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Audi_Sport_quattro,
Retro Rally;Toyota;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Toyota_Celica_GT-Four_ST205,
Retro Rally;Renault;1980s;1.0L to 1.9L Displacement, Turbocharged;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Renault_5_Turbo,
Retro Rally;Toyota;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Toyota_Celica_GT-Four_RC_ST185,
Retro Rally;Lancia;1980s;1.0L to 1.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Lancia_Delta_S4,
Retro Rally;Citroën;1980s;2.0L to 2.9L Displacement, Turbocharged;100 to 199 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Citro%C3%ABn_BX_4TC,
Retro Rally;Peugeot;1980s;1.0L to 1.9L Displacement, Turbocharged;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Peugeot_205_Turbo_16,
Retro Rally;SUBARU;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/SUBARU_Impreza_22B-STi_Version,
Retro Rally;Ford;1990s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ford_Racing_Puma,,
Retro Rally;Mitsubishi;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;300 to 399 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Mitsubishi_Lancer_Evolution_VI_GSR,
Retro Saloons;BMW;2000s;3.0L to 3.9L Displacement;300 to 399 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/BMW_M3_(2005),,
Retro Saloons;BMW;1990s;2.0L to 2.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/BMW_M3_(1991),,
Retro Saloons;BMW;1980s;3.0L to 3.9L Displacement;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/BMW_M635_CSi,,
Retro Saloons;Nissan;2010s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Nissan_Tsuru,,
Retro Saloons;Volkswagen;2010s;1.0L to 1.9L Displacement;0 to 99 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Volkswagen_Santana,,
Retro Saloons;Mercedes-Benz;1980s;6.0L to 6.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Mercedes-Benz_AMG_Hammer_Wagon,
Retro Saloons;Mercedes-Benz;1980s;6.0L to 6.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Mercedes-Benz_AMG_Hammer_Coupe,
Retro Saloons;BMW;1990s;3.0L to 3.9L Displacement;300 to 399 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/BMW_M3_(1997),,
Retro Saloons;Toyota;1990s;2.0L to 2.9L Displacement, Twin-Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Toyota_Chaser_GT_Twin_Turbo,
Retro Saloons;Bentley;1990s;6.0L to 6.9L Displacement, Turbocharged, V8;300 to 399 bhp;400 to 499 lb⋅ft;5000 to 5499 lbs;https://forza.fandom.com/wiki/Bentley_Turbo_R
Retro Saloons;Mercedes-Benz;1990s;5.0L to 5.9L Displacement, V8;300 to 399 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Mercedes-Benz_500_E,
Retro Saloons;Mercedes-Benz;1990s;2.0L to 2.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Mercedes-Benz_190E_2.5-16_Evolution_II,,
Retro Saloons;Audi;1990s;2.0L to 2.9L Displacement, Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Audi_RS_2_Avant,
Retro Saloons;BMW;1990s;3.0L to 3.9L Displacement;300 to 399 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/BMW_M5_(1995),,
Retro Saloons;Audi;2000s;4.0L to 4.9L Displacement, Twin-Turbocharged, V8;400 to 499 bhp;400 to 499 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Audi_RS_6_(2003)
Retro Saloons;Alfa;1990s;2.0L to 2.9L Displacement, Turbocharged;100 to 199 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Alfa_Romeo_155_Q4,
Retro Saloons;Vauxhall;1990s;3.0L to 3.9L Displacement, Twin-Turbocharged;300 to 399 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Vauxhall_Lotus_Carlton,
Retro Saloons;BMW;2000s;5.0L to 5.9L Displacement, V8;300 to 399 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/BMW_M5_(2003),
Retro Saloons;Volvo;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Volvo_850_R,
Retro Saloons;Audi;2000s;2.0L to 2.9L Displacement, Twin-Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Audi_RS_4_Avant_(2001),
Retro Saloons;BMW;1980s;3.0L to 3.9L Displacement;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/BMW_M5_(1988),,
Retro Saloons;Ford;1980s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ford_Sierra_Cosworth_RS500,
Retro Saloons;Nissan;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Nissan_Stagea_RS_Four_V,
Retro Sports Cars;Nissan;1990s;2.0L to 2.9L Displacement, Twin-Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Nissan_Skyline_GT-R_V-Spec_(1993),
Retro Sports Cars;Nissan;1990s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Nissan_240SX_SE,,
Retro Sports Cars;Honda;2000s;3.0L to 3.9L Displacement;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Honda_NSX-R_GT,,
Retro Sports Cars;Nissan;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Nissan_Silvia_K%27s_AERO,
Retro Sports Cars;Toyota;1980s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Toyota_Sprinter_Trueno_GT_Apex,,
Retro Sports Cars;Aston;1990s;5.0L to 5.9L Displacement, V8;200 to 299 bhp;300 to 399 lb⋅ft;4500 to 4999 lbs;https://forza.fandom.com/wiki/Aston_Martin_Lagonda,
Retro Sports Cars;Mitsubishi;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Mitsubishi_Eclipse_GSX,
Retro Sports Cars;Mitsubishi;1990s;3.0L to 3.9L Displacement, Twin-Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Mitsubishi_GTO,
Retro Sports Cars;Toyota;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Toyota_MR2_GT,
Retro Sports Cars;Mazda;2000s;1.0L to 1.9L Displacement, Twin-Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Mazda_RX-7_Spirit_R_Type-A,
Retro Sports Cars;Mitsubishi;1990s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Mitsubishi_FTO_GP_Version_R,,
Retro Sports Cars;Toyota;2000s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Toyota_Celica_Sport_Specialty_II,,
Retro Sports Cars;Toyota;1990s;3.0L to 3.9L Displacement, Twin-Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Toyota_Supra_RZ,
Retro Sports Cars;Porsche;1990s;3.0L to 3.9L Displacement, Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Porsche_968_Turbo_S,
Retro Sports Cars;Nissan;1990s;3.0L to 3.9L Displacement, Twin-Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Nissan_Fairlady_Z_Version_S_Twin_Turbo,
Retro Sports Cars;Nissan;1980s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Nissan_Skyline_GTS-R_(HR31),
Retro Sports Cars;Honda;1990s;3.0L to 3.9L Displacement;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Honda_NSX-R_(1992),,
Retro Sports Cars;MG;2000s;5.0L to 5.9L Displacement, V8;300 to 399 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/MG_XPower_SV-R,
Retro Sports Cars;Nissan;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Nissan_Silvia_CLUB_K%27s,
